,Env
SRR5602195,Elder
C002,Elder
SRR5610139,Young
SRR5602171,Elder
SRR5601983,Elder
SRR5602187,Elder
SRR3679967,Elder
SRR5602293,Elder
SRR5802274,Young
SRR3680058,Elder
SRR5602151,Elder
SRR5580619,Young
SRR5610129,Young
SRR5802349,Young
SRR3679991,Elder
USchp3Child.418614,Young
SRR5802359,Young
SRR3679962,Elder
SRR5802342,Young
SRR5802379,Young
SRR5602080,Elder
USygt14.T1.418853,Young
SRR5802321,Young
S280,Centenarian
SRR5602140,Elder
SRR5602289,Elder
SRR5602071,Young
SRR5602012,Elder
SRR5602022,Elder
SRR5802250,Young
SRR5602023,Elder
C018,Elder
SRR5602073,Young
SRR5601988,Elder
SRR5802348,Young
SRR5602005,Elder
SRR5602267,Elder
SRR5580427,Young
SRR5602336,Elder
SRR5802183,Elder
USinfTw19.1.418798,Young
C042,Centenarian
SRR5580536,Young
SRR5802197,Young
SRR5610074,Young
USygt25.T1.418406,Young
SRR5580583,Young
SRR5610163,Young
SRR5601929,Elder
SRR3680048,Elder
SRR5602106,Young
SRR5802377,Young
SRR5802262,Young
SRR5802373,Young
SRR5610091,Young
SRR5601982,Elder
USinfTw20.1.418640,Young
SRR5602032,Elder
SRR5602338,Elder
USygt17.T1.418600,Young
SRR5802318,Young
SRR5610040,Young
SRR3679980,Centenarian
SRR5602072,Young
SRR3679973,Elder
USygt6.AS.418353,Young
SRR5602306,Elder
K106,Elder
SRR5802277,Young
SRR5602133,Elder
SRR3680011,Elder
S110,Centenarian
SRR5601934,Elder
USinfTw2.1.418478,Young
USygt17.T2.418720,Young
SRR5580502,Young
SRR3679994,Elder
SRR5802286,Young
USygt25.B2.418685,Young
SRR5602076,Elder
SRR3680007,Elder
USinfTw18.2.418796,Young
USinfTw10.1.418518,Young
SRR5602347,Elder
SRR5602213,Elder
USygt15.T2.418859,Young
SRR5610012,Elder
SRR5602173,Elder
SRR3680036,Elder
USchp50Infant.418380,Young
SRR5602096,Elder
SRR5610000,Young
SRR5802236,Young
USygt53.T2.418455,Young
USygt12.T1.418615,Young
K304,Elder
SRR5602226,Elder
SRR5602008,Elder
SRR5602125,Centenarian
SRR5602179,Centenarian
SRR5580647,Young
SRR5602113,Young
SRR5602122,Elder
SRR5602223,Elder
SRR5610162,Young
SRR5802265,Young
SRR5602165,Elder
SRR5609989,Young
USygt19.B1.418817,Young
USygt43.T2.418799,Young
SRR5802284,Young
SRR5609957,Young
SRR5602131,Elder
SRR5601924,Elder
SRR5601967,Elder
SRR5601948,Young
SRR5602327,Elder
SRR3680092,Young
SRR5601986,Elder
SRR5802218,Young
SRR3680072,Elder
USinfTw8.1.418366,Young
SRR5602261,Elder
USchp60Mom.418566,Young
SRR5602153,Elder
SRR5802205,Young
SRR5610089,Young
SRR3679976,Elder
SRR5802394,Young
SRR5802302,Young
SRR5602158,Elder
SRR5602315,Elder
SRR5602016,Centenarian
SRR5610034,Young
SRR5802228,Young
SRR5580539,Young
SRR5609969,Elder
SRR5610082,Young
SRR3679977,Elder
SRR5601910,Young
SRR5610011,Elder
SRR5601992,Elder
SRR5602210,Centenarian
SRR5802200,Young
USchp25Child.418345,Young
SRR5610062,Young
USygt27.T2.418523,Young
SRR5602265,Elder
SRR5602253,Elder
SRR5602320,Elder
USygt37.B1.418521,Young
SRR5602104,Young
SRR5602316,Elder
SRR5802293,Young
SRR5609973,Young
SRR5802255,Young
SRR5610126,Young
SRR5602239,Young
SRR5601925,Elder
SRR5602193,Centenarian
SRR5602084,Young
SRR5610142,Young
SRR5802187,Young
USygt10.T1.418683,Young
SRR5602205,Elder
Y10,Young
SRR5602130,Elder
SRR3680002,Elder
K113,Elder
SRR5601954,Young
USinfTw3.1.418387,Young
SRR5602198,Elder
SRR3679936,Elder
USBldChld7.418488,Young
S020,Centenarian
SRR5802219,Young
SRR5602168,Centenarian
SRR5802269,Young
SRR5602180,Elder
SRR5602240,Young
SRR5610063,Young
SRR5602184,Elder
SRR5802223,Young
SRR5610037,Young
SRR5610101,Young
SRR5602148,Elder
SRR5802192,Young
SRR5602310,Elder
SRR5602279,Elder
SRR5602183,Elder
SRR5802185,Young
SRR5602337,Elder
SRR5802339,Young
S150,Centenarian
SRR5602349,Centenarian
SRR5602060,Elder
SRR5602292,Elder
SRR5802310,Young
SRR5580464,Young
SRR5610143,Young
USygt31.T2.418361,Young
SRR5602123,Elder
SRR3679971,Elder
SRR5602285,Elder
SRR3679968,Elder
SRR5602020,Elder
SRR5602074,Young
SRR5610068,Young
SRR5802392,Young
SRR5802261,Young
SRR5802399,Young
SRR5602245,Elder
SRR5601984,Elder
SRR5580645,Young
USchp36Infant.418576,Young
SRR3679996,Elder
SRR5610007,Young
SRR5609951,Young
SRR5802361,Young
SRR5601943,Young
USinfTw1.1.418752,Young
USygt24.T2.418363,Young
S200,Centenarian
SRR5802306,Young
SRR3680093,Elder
SRR5610010,Elder
C052,Centenarian
SRR5602021,Elder
USygt47.T2.418762,Young
SRR3679998,Elder
USygt47.T1.418692,Young
SRR3680078,Elder
SRR5802246,Young
USygt44.B1.418371,Young
SRR5602014,Elder
SRR5610039,Young
SRR3679963,Elder
SRR5609999,Young
SRR5802404,Young
USygt33.T2.418787,Young
SRR5602018,Elder
C007,Elder
USygt36.T1.418651,Young
SRR5802346,Young
SRR5610073,Young
USygt25.B1.418792,Young
SRR5602333,Centenarian
SRR5601928,Elder
SRR5610004,Young
SRR5602260,Centenarian
SRR5802323,Young
K309,Elder
SRR5601947,Young
SRR5609954,Young
SRR5580438,Young
USygt25.T2.418341,Young
USygt3.T2.418807,Young
SRR5602011,Elder
USchp33ChildB.418578,Young
SRR5610047,Young
K301,Elder
SRR5602231,Elder
SRR5802393,Young
SRR5802206,Young
SRR3680034,Elder
SRR3679961,Centenarian
SRR5609995,Young
Y3,Young
SRR5580544,Young
USygt19.T1.418385,Young
USinfTw5.2.418695,Young
SRR5602248,Elder
SRR5602197,Elder
SRR5580432,Young
SRR5610095,Young
SRR5802189,Young
SRR5610088,Young
SRR3679929,Elder
SRR5802376,Young
SRR5802403,Young
USinfTw2.2.418678,Young
SRR5602017,Elder
SRR5580431,Young
SRR3680049,Elder
SRR5609997,Young
SRR5802290,Young
USygt13.T2.418745,Young
USygt43.T1.418816,Young
USchp35Child.418784,Young
SRR3680053,Elder
SRR5602175,Elder
SRR3679989,Elder
SRR5602057,Elder
SRR5802309,Young
SRR5802260,Young
SRR5610079,Young
SRR3680059,Elder
SRR5610067,Young
SRR5802395,Young
SRR3679940,Elder
SRR5601996,Elder
SRR5602280,Elder
SRR5601918,Young
SRR5802225,Young
SRR5602218,Elder
SRR5802400,Young
SRR5609976,Young
SRR5602027,Elder
SRR5610096,Young
SRR5580538,Young
SRR5610005,Young
SRR5602152,Elder
USygt15.T1.418779,Young
SRR5602264,Elder
SRR5610035,Young
SRR5602263,Elder
SRR5610029,Young
SRR5602243,Young
SRR5802239,Young
SRR5601926,Elder
S050,Centenarian
USygt29.T2.418768,Young
SRR5802217,Young
SRR5802388,Young
USygt28.T1.418827,Young
C021,Centenarian
SRR5610081,Young
SRR5580433,Young
SRR5601945,Young
USchp1Child.418697,Young
USygt2.M.418457,Young
SRR5602093,Elder
SRR5580467,Young
USygt27.T1.418441,Young
SRR5802253,Young
SRR5802258,Young
SRR5602141,Elder
SRR5602098,Elder
SRR5802289,Young
SRR5601981,Elder
USygt39.T2.418351,Young
SRR5602109,Young
SRR5802241,Young
SRR3680016,Elder
SRR5610094,Young
SRR5610121,Young
SRR5602100,Elder
SRR5602329,Elder
SRR5602244,Young
SRR5802224,Young
SRR5602332,Elder
SRR5580429,Young
SRR5609994,Young
SRR5602351,Centenarian
SRR5802299,Young
SRR5802264,Young
SRR5802340,Young
Y11,Young
SRR5601950,Young
SRR5802234,Young
SRR3680070,Elder
SRR5602036,Elder
USygt11.T1.418632,Young
SRR5602090,Young
USygt1.T1.418417,Young
SRR3680024,Elder
SRR3679990,Elder
SRR5602166,Elder
SRR5602112,Young
SRR5601952,Young
SRR5802267,Young
SRR5802324,Young
SRR5802193,Young
SRR5580462,Young
SRR5802259,Young
USchp18Child.418782,Young
SRR5610070,Young
SRR5601933,Elder
SRR5602290,Centenarian
SRR5602224,Elder
C024,Elder
SRR5802188,Young
SRR5802220,Young
SRR5802233,Young
K125,Elder
SRR5602108,Young
SRR5602339,Elder
SRR5609953,Young
SRR5802311,Young
SRR5602160,Centenarian
SRR5602202,Elder
SRR5610123,Young
USinfTw9.2.418769,Young
Y5,Young
USBldChld10.418660,Young
SRR5601989,Elder
SRR5601990,Elder
SRR5580650,Young
SRR5610008,Elder
SRR5580499,Young
SRR5602302,Elder
SRR5610102,Young
SRR5610125,Young
SRR5602257,Elder
USinfTw6.1.418613,Young
SRR5602323,Elder
SRR5802208,Young
SRR5610128,Young
SRR5601985,Elder
SRR5602246,Elder
SRR5602247,Elder
USchp3Mom.418727,Young
Y9,Young
S100,Centenarian
SRR5580501,Young
SRR5802331,Young
SRR5802322,Young
SRR5802272,Young
USinfTw3.2.418812,Young
SRR5602083,Young
USygt8.T2.418755,Young
SRR5609990,Young
SRR5802257,Young
SRR3679987,Elder
SRR5602299,Elder
USygt29.T1.418673,Young
SRR5602058,Elder
SRR5802207,Young
K124,Elder
SRR3680017,Elder
SRR5802275,Young
SRR5601931,Elder
SRR5609975,Young
USygt54.T1.418381,Young
SRR5601970,Young
SRR3680084,Elder
SRR5610031,Young
SRR5802268,Young
SRR5610149,Young
SRR3680044,Elder
SRR5802296,Young
SRR5802237,Young
SRR5602191,Elder
SRR5602196,Elder
SRR5802384,Young
SRR3680068,Elder
USygt16.B1.418368,Young
SRR5602138,Centenarian
SRR3679969,Elder
SRR3679970,Elder
SRR5602215,Elder
K306,Elder
SRR5602082,Young
SRR5610132,Young
USBldInf3.418459,Young
SRR5802355,Young
SRR5602311,Elder
SRR5602353,Elder
S180,Centenarian
SRR5580471,Young
SRR5602258,Elder
SRR5802276,Young
SRR5602121,Elder
SRR5802330,Young
SRR3680031,Elder
SRR5602225,Elder
S120,Centenarian
SRR5609958,Young
SRR5601932,Elder
SRR5802221,Young
SRR5802211,Young
SRR5610113,Young
S080,Centenarian
SRR5602235,Young
USBldChld2.418414,Young
SRR5609967,Young
SRR5802266,Young
SRR5802380,Young
SRR5601913,Young
SRR5610049,Young
SRR5802353,Young
SRR5602275,Elder
SRR5610038,Young
SRR5609993,Young
USinfTw10.2.418840,Young
SRR5602203,Elder
SRR5610080,Young
SRR5802358,Young
USygt3.T1.418429,Young
SRR5609996,Young
SRR5602232,Elder
SRR5610001,Young
SRR5802381,Young
S260,Centenarian
SRR5580541,Young
SRR5609985,Young
SRR5602194,Elder
SRR5802298,Young
SRR5601941,Elder
USygt6.T2.418728,Young
USinfTw1.2.418491,Young
SRR5602220,Centenarian
SRR5602206,Young
SRR5602287,Elder
SRR5609970,Elder
SRR5602170,Elder
SRR5580543,Young
SRR5601964,Young
SRR5602328,Elder
SRR5601959,Elder
SRR5602296,Elder
USygt9.B1.418824,Young
SRR5802210,Young
USinfTw7.2.418463,Young
SRR5609992,Young
SRR3680042,Elder
USchp11Child.418850,Young
SRR5602314,Elder
SRR5580616,Young
SRR5802374,Young
SRR5602147,Elder
USygt12.T2.418790,Young
USygt33.T1.418574,Young
SRR5802287,Young
USygt31.T1.418408,Young
C054,Elder
SRR5602313,Elder
SRR5580428,Young
SRR5610032,Young
SRR5602155,Centenarian
SRR5602234,Centenarian
SRR5602176,Elder
SRR5802204,Young
SRR5602317,Elder
SRR5802312,Young
S320,Centenarian
SRR5602066,Elder
Y15,Young
SRR5602249,Elder
C011,Elder
SRR5602233,Elder
SRR5602081,Young
SRR5580465,Young
SRR5802351,Young
SRR5602312,Elder
SRR3679974,Elder
SRR5580648,Young
USinfTw4.1.418637,Young
USygt54.T2.418497,Young
SRR5610147,Young
SRR5610085,Elder
SRR5602031,Elder
SRR5802345,Young
SRR5602269,Young
SRR5802371,Young
SRR5602105,Young
SRR5802235,Young
SRR5610086,Young
USygt38.T1.418654,Young
SRR5802334,Young
SRR5610075,Young
SRR5601927,Elder
USygt49.T1.418399,Young
SRR5602069,Young
SRR5610159,Young
SRR5580498,Young
SRR5602204,Elder
SRR5602236,Young
SRR3680083,Elder
USygt54.AS.418858,Young
USBldChld5.418733,Young
SRR5602087,Young
USinfTw7.1.418386,Young
SRR5802387,Young
SRR5602085,Young
SRR5802281,Young
USygt49.T2.418670,Young
SRR5602201,Elder
USygt14.T2.418813,Young
USygt21.B1.418713,Young
SRR5610119,Young
USBldChld4.418528,Young
SRR5802301,Young
SRR5602214,Elder
SRR5802300,Young
S030,Centenarian
USygt11.T2.418503,Young
SRR5602237,Young
SRR5602167,Elder
SRR5610052,Young
USinfTw6.2.418594,Young
SRR5602078,Young
SRR5602256,Centenarian
SRR5610115,Young
SRR5602344,Young
USygt20.T2.418500,Young
SRR5602010,Centenarian
SRR5802263,Young
SRR5802248,Young
SRR5602262,Elder
USinfTw18.1.418513,Young
SRR3679930,Elder
USinfTw8.2.418804,Young
SRR5602343,Elder
SRR5610157,Young
SRR3679975,Elder
SRR5610114,Young
SRR5602331,Elder
SRR5802402,Young
USinfTw5.1.418422,Young
SRR5602075,Young
SRR3680045,Elder
SRR5802231,Young
SRR5602342,Elder
SRR5610064,Young
SRR5802232,Young
SRR3680079,Elder
SRR5610083,Young
SRR5602321,Elder
SRR5602271,Elder
SRR5602139,Elder
SRR5610120,Young
Y13,Young
USygt30.T1.418821,Young
USygt30.T2.418609,Young
SRR5602178,Elder
SRR5802326,Young
SRR5580503,Young
USygt1.T2.418785,Young
SRR5602297,Elder
SRR5580652,Young
SRR5802240,Young
S010,Centenarian
SRR5602119,Centenarian
USygt36.T2.418655,Young
SRR5602145,Centenarian
S290,Centenarian
SRR5802401,Young
K316,Elder
SRR5601917,Young
SRR5602242,Young
SRR5602063,Elder
SRR5601942,Elder
SRR5610028,Young
SRR5802366,Young
SRR5802279,Young
SRR3680086,Elder
SRR5610111,Young
SRR5802273,Young
USygt20.T1.418564,Young
USchp60Child.418703,Young
SRR5602207,Elder
SRR5609988,Young
SRR5580468,Young
SRR5601916,Young
SRR5602025,Elder
C003,Elder
SRR5580537,Young
SRR5802320,Young
SRR5610084,Young
USygt42.T2.418716,Young
SRR5602117,Elder
SRR5580651,Young
USygt7.T2.418392,Young
USinfTw21.2.418540,Young
SRR5602142,Elder
SRR5610006,Young
USygt7.T1.418622,Young
SRR5610069,Young
SRR5602340,Elder
SRR5802238,Young
SRR5802357,Young
SRR5610122,Young
USygt53.T1.418664,Young
SRR5602305,Elder
SRR5580430,Young
S240,Centenarian
SRR5610127,Young
Y12,Young
USygt16.T2.418435,Young
SRR5802383,Young
SRR5602088,Young
SRR5602284,Centenarian
SRR5610036,Young
SRR3680067,Elder
SRR5602099,Elder
SRR5602304,Elder
USygt10.T2.418815,Young
SRR5602335,Centenarian
SRR5602124,Elder
SRR5602330,Elder
SRR5602029,Elder
S220,Centenarian
SRR5601946,Young
SRR5602038,Elder
USchp41Infant.418542,Young
USBldChld8.418589,Young
SRR5802386,Young
SRR5802368,Young
SRR5580435,Young
SRR5802350,Young
SRR5580463,Young
SRR3680065,Elder
SRR5601962,Young
SRR5602199,Elder
SRR5602318,Elder
SRR5602095,Elder
K119,Elder
SRR5802297,Young
SRR5610156,Young
SRR5802190,Young
SRR3679985,Elder
SRR5602115,Elder
SRR5610072,Young
S130,Centenarian
SRR5802214,Young
SRR5610117,Young
SRR5602238,Young
SRR5602086,Young
SRR5802375,Young
SRR3679988,Elder
SRR3680074,Elder
SRR5802328,Young
SRR5802280,Young
SRR5602181,Elder
USygt16.T1.418527,Young
SRR5602114,Elder
SRR5802291,Young
SRR5609991,Young
USygt23.T2.418458,Young
SRR5602294,Elder
SRR3679992,Elder
SRR5610042,Young
SRR5610169,Young
SRR5602159,Centenarian
SRR5802305,Young
SRR5802369,Young
SRR5602273,Elder
SRR5610076,Young
USygt42.T1.418811,Young
SRR5602132,Elder
USBld1.418516,Young
SRR5602230,Elder
SRR3680085,Elder
SRR3679931,Elder
SRR5610087,Young
SRR5610097,Young
C048,Elder
SRR5580540,Young
SRR5601963,Young
SRR5802337,Young
SRR5602341,Elder
SRR5610090,Young
SRR5802271,Young
SRR5802213,Young
SRR5610116,Young
SRR5802389,Young
SRR3680080,Elder
SRR5580500,Young
SRR3680035,Elder
SRR5610131,Young
K105,Elder
SRR5602092,Centenarian
SRR5610065,Young
USygt49.B1.418842,Young
SRR5602035,Elder
USygt32.S1.418608,Young
SRR5610030,Young
SRR5602345,Centenarian
SRR3679983,Elder
SRR5610138,Young
SRR3679979,Elder
SRR5602026,Elder
SRR3680063,Elder
USygt23.T1.418854,Young
SRR5602094,Elder
USinfTw20.2.418696,Young
SRR5601949,Young
SRR5802391,Young
SRR5610045,Young
USygt26.T1.418758,Young
USygt19.T2.418432,Young
SRR5601909,Young
USygt13.T1.418495,Young
USinfTw9.1.418845,Young
SRR5602136,Elder
SRR5610071,Young
SRR5602186,Elder
USchp33ChildA.418742,Young
SRR5580434,Young
SRR5602281,Elder
SRR3680046,Elder
SRR5602172,Elder
SRR5802247,Young
SRR5610077,Young
SRR5802196,Young
SRR5610112,Young
K108,Elder
SRR5602062,Elder
SRR5602118,Elder
USygt24.T1.418841,Young
SRR5602068,Young
SRR5602135,Elder
SRR5802242,Young
SRR5580646,Young
SRR5602079,Elder
SRR5610133,Young
SRR5602189,Elder
SRR3680028,Elder
SRR5602154,Elder
SRR5802370,Young
SRR5802304,Young
USchp41Mom.418801,Young
SRR5602182,Centenarian
SRR5602116,Elder
SRR5609971,Young
USygt8.T1.418829,Young
SRR5602250,Elder
USygt26.T2.418693,Young
SRR5802230,Young
SRR3680055,Elder
USinfTw19.2.418595,Young
SRR5602101,Elder
USinfTw4.2.418348,Young
SRR3679965,Elder
SRR5602089,Young
SRR5602143,Elder
SRR5601993,Elder
SRR5601995,Elder
SRR5602192,Elder
SRR5601944,Young
SRR5802338,Young
SRR5802209,Young
SRR3680039,Elder
USygt25.S1.418338,Young
SRR5580470,Young
SRR5802243,Young
SRR5602054,Elder
SRR5802215,Young
SRR5802212,Young
SRR5610014,Elder
USygt41.B1.418570,Young
USinfTw17.1.418390,Young
SRR5602169,Elder
SRR5602286,Elder
SRR5601969,Young
SRR5580436,Young
SRR5602278,Elder
SRR5802191,Young
SRR5602097,Elder
SRR5802352,Young
SRR5610158,Young
SRR5609956,Young
SRR3680064,Elder
SRR5610124,Young
SRR5610033,Young
SRR3680043,Elder
SRR3679946,Elder
SRR5802282,Young
SRR5802216,Young
SRR5602177,Elder
SRR5602137,Elder
USygt38.T2.418456,Young
SRR5602266,Elder
SRR5602070,Young
SRR5602354,Elder
S210,Centenarian
SRR5602185,Elder
SRR5602174,Elder
SRR5602217,Elder
SRR5601994,Elder
SRR5602111,Young
SRR5602015,Elder
SRR5580466,Young
SRR5580461,Young
SRR5802303,Young
SRR5602252,Elder
SRR5602212,Elder
SRR5802203,Young
SRR5580542,Young
SRR5610146,Young
SRR5610118,Young
SRR5802327,Young
SRR3679945,Elder
SRR5602034,Elder
SRR5602134,Centenarian
SRR5602157,Elder
SRR5610140,Young
USchp1Mom.418814,Young
S330,Centenarian
SRR5602030,Elder
K100,Elder
SRR5610092,Young
SRR5802270,Young
Y8,Young
SRR5610066,Young
SRR5602324,Centenarian
SRR5602270,Elder
SRR5802251,Young
SRR5802245,Young
SRR5802285,Young
SRR5602255,Elder
SRR5601915,Young
SRR5580525,Young
SRR5802390,Young
SRR5610044,Young
SRR5580440,Young
C010,Centenarian
SRR5601923,Elder
SRR5601965,Elder
USinfTw21.1.418467,Young
C012,Centenarian
